,Unique City,No. Charging Stations
700,"CHATTANOOGA, TN",43
701,"CHEHALIS, WA",1
702,"CHELAN, WA",5
703,"CHELSEA, MA",2
704,"CHELSEA, MI",1
705,"CHEROKEE, NC",4
706,"CHERRY VALLEY, IL",1
707,"CHESAPEAKE BEACH, MD",1
708,"CHESAPEAKE, VA",10
709,"CHESTER, MD",1
710,"CHESTER, NY",1
711,"CHESTER, VA",4
712,"CHESTERBROOK, PA",2
713,"CHESTERFIELD, MO",3
714,"CHESTERTON, IN",1
715,"CHESTERTOWN, MD",6
716,"CHESTERTOWN, NY",2
717,"CHEVERLY, MD",2
718,"CHEVY CHASE, MD",3
719,"CHEYENNE, WY",4
720,"CHICAGO HEIGHTS, IL",1
721,"CHICAGO RIDGE, IL",1
722,"CHICAGO, IL",164
723,"CHICKASHA, OK",3
724,"CHICO, CA",11
725,"CHICOPEE, MA",6
726,"CHILDRESS, TX",2
727,"CHILLICOTHE, OH",4
728,"CHINO HILLS, CA",6
729,"CHINO, CA",7
730,"CHIPLEY, FL",1
731,"CHISAGO CITY, MN",1
732,"CHISHOLM, MN",2
733,"CHOCTAW, OK",1
734,"CHOWCHILLA, CA",2
735,"CHRISTIANSBURG, VA",3
736,"CHUBBUCK, ID",1
737,"CHULA VISTA, CA",27
738,"CHURCHVILLE, NY",3
739,"CICERO, IL",1
740,"CINCINNATI, OH",42
741,"CIRCLE PINES, MN",1
742,"CISCO, TX",1
743,"CITRUS HEIGHTS, CA",6
744,"CLANTON, AL",1
745,"CLARA CITY, MN",1
746,"CLARE, MI",3
747,"CLAREMONT, CA",9
748,"CLAREMORE, OK",2
749,"CLARINDA, IA",1
750,"CLARION, PA",2
751,"CLARKESVILLE, GA",1
752,"CLARKSBURG, MD",1
753,"CLARKSBURG, WV",1
754,"CLARKSTON, GA",2
755,"CLARKSTON, WA",1
756,"CLARKSVILLE, AR",1
757,"CLARKSVILLE, IN",1
758,"CLARKSVILLE, TN",9
759,"CLATSKANIE, OR",1
760,"CLAVERACK-RED MILLS, NY",1
761,"CLAYCOMO, MO",2
762,"CLAYMONT, DE",1
763,"CLAYTON, GA",4
764,"CLAYTON, MO",1
765,"CLAYTON, NJ",1
766,"CLAYVILLE, NY",1
767,"CLE ELUM, WA",4
768,"CLEAR LAKE, IA",1
769,"CLEAR SPRING, MD",1
770,"CLEARFIELD, UT",3
771,"CLEARLAKE OAKS, CA",1
772,"CLEARWATER, FL",20
773,"CLEARWATER, MN",1
774,"CLEMSON, SC",6
775,"CLERMONT, FL",12
776,"CLEVELAND, GA",2
777,"CLEVELAND, OH",16
778,"CLEVELAND, OK",1
779,"CLEVELAND, TN",1
780,"CLIFTON FORGE, VA",1
781,"CLIFTON HEIGHTS, PA",1
782,"CLIFTON SPRINGS, NY",1
783,"CLIFTON, NJ",1
784,"CLINTON, MO",3
785,"CLINTON, NC",1
786,"CLINTON, NY",1
787,"CLINTON, TN",1
788,"CLINTON, UT",4
789,"CLINTONVILLE, WI",1
790,"CLIO, CA",1
791,"CLIVE, IA",1
792,"CLOQUET, MN",2
793,"CLOSTER, NJ",2
794,"CLOUDCROFT, NM",1
795,"CLOVERDALE, CA",2
796,"CLOVIS, CA",18
797,"CLUTE, TX",2
798,"CLYDE, NC",1
799,"COACHELLA, CA",2
800,"COALINGA, CA",7
801,"COALVILLE, UT",1
802,"COARSEGOLD, CA",1
803,"COATESVILLE, PA",1
804,"COCKEYSVILLE, MD",4
805,"COCOA BEACH, FL",6
806,"COCOA, FL",6
807,"COCONUT CREEK, FL",4
808,"CODY, WY",2
809,"COEUR D'ALENE, ID",5
810,"COFFEE CREEK, CA",2
811,"COHOES, NY",10
812,"COLBY, KS",2
813,"COLD SPRING HARBOR, NY",1
814,"COLDWATER, MI",2
815,"COLEHARBOR, ND",1
816,"COLFAX, CA",3
817,"COLLEGE PARK, GA",11
818,"COLLEGE PARK, MD",12
819,"COLLEGE PLACE, WA",1
820,"COLLEGE STATION, TX",10
821,"COLLEGEDALE, TN",2
822,"COLLEGEVILLE, PA",2
823,"COLLEYVILLE, TX",2
824,"COLLINSVILLE, IL",1
825,"COLMA, CA",3
826,"COLONIAL BEACH, VA",1
827,"COLORADO SPRINGS, CO",38
828,"COLTON, CA",6
829,"COLUMBIA CITY, IN",1
830,"COLUMBIA, MD",47
831,"COLUMBIA, MO",5
832,"COLUMBIA, SC",33
833,"COLUMBIA, TN",4
834,"COLUMBIANA, OH",1
835,"COLUMBUS, GA",13
836,"COLUMBUS, IN",2
837,"COLUMBUS, MS",6
838,"COLUMBUS, NE",1
839,"COLUMBUS, OH",132
840,"COLUMBUS, TX",2
841,"COLUSA, CA",1
842,"COLVILLE, WA",2
843,"COLWICH, KS",1
844,"COMFORT, TX",1
845,"COMMERCE CITY, CO",2
846,"COMMERCE, CA",6
847,"COMMERCE, GA",2
848,"COMPTON, CA",1
849,"COMSTOCK PARK, MI",1
850,"CONCORD, CA",21
851,"CONCORD, NC",14
852,"CONCORD, NH",4
853,"CONCRETE, WA",1
854,"CONDON, OR",1
855,"CONNELL, WA",1
856,"CONOVER, NC",2
857,"CONROE, TX",10
858,"CONSHOHOCKEN, PA",5
859,"CONWAY, AR",7
860,"CONWAY, SC",5
861,"CONYERS, GA",3
862,"COOK, MN",3
863,"COOKE CITY, MT",1
864,"COOKEVILLE, TN",8
865,"COON RAPIDS, MN",1
